image_id,file_name,ground_truth_vapor_area_fraction,predicted_vapor_area_fraction,signed_area_fraction_error,absolute_area_fraction_error,union_mask_iou,union_mask_dice,predicted_instances,source_sequence_index,same_nominal_frame_in_training,nearest_training_frame_distance,most_similar_training_file,nearest_training_image_correlation,nearest_training_normalized_mae
15,192.168.0.10_C001H001S0001000066.png,0.03168247767857143,0.043680245535714285,0.011997767857142858,0.011997767857142858,0.5350951974992896,0.6971492039985191,160,1000066,False,1,192.168.0.10_C001H001S0001000006.png,0.953134601413852,0.024193378523284313
16,192.168.0.10_C001H001S0001000074.png,0.023995535714285716,0.03331473214285714,0.009319196428571428,0.009319196428571428,0.544360902255639,0.7049659201557936,112,1000074,False,1,192.168.0.10_C001H001S0001000091.png,0.975186836815592,0.01678921568627451
17,192.168.0.10_C001H001S0001000078(2).png,0.006808035714285714,0.012820870535714285,0.006012834821428572,0.006012834821428572,0.46715328467153283,0.6368159203980099,51,1000078,True,0,192.168.0.10_C001H001S0001000091.png,0.9919433753380814,0.008771829044117647
18,192.168.0.10_C001H001S0001000081nn.png,0.09810267857142857,0.10260881696428571,0.0045061383928571425,0.0045061383928571425,0.8609494243952917,0.9252797664558282,31,1000081,True,0,192.168.0.10_C001H001S0001000077(2).png,0.9347155337195072,0.02841940487132353
19,192.168.0.10_C001H001S0001000088.png,0.10859375,0.10910993303571428,0.0005161830357142857,0.0005161830357142857,0.6497515593614547,0.787696251201538,176,1000088,False,1,192.168.0.10_C001H001S0001000090g.png,0.9535802912913811,0.02881433823529412
20,192.168.0.10_C001H001S0001000090e.png,0.0705078125,0.07353515625,0.00302734375,0.00302734375,0.5826180257510729,0.736271186440678,203,1000090,True,0,192.168.0.10_C001H001S0001000054.png,0.9096946321344905,0.04060824525122549
21,192.168.0.10_C001H001S0001000090j.png,0.1947265625,0.18980189732142858,-0.004924665178571428,0.004924665178571428,0.7319969837878597,0.8452635779849799,113,1000090,True,0,192.168.0.10_C001H001S0001000026.png,0.8316785545666175,0.06594621246936275
22,192.168.0.10_C001H001S0001000093.png,0.22049386160714285,0.20443638392857144,-0.01605747767857143,0.01605747767857143,0.7305266746207602,0.844282478085295,117,1000093,True,0,192.168.0.10_C001H001S0001000090k.png,0.882064384528025,0.04910146675857843
23,192.168.0.10_C001H001S0001000099.png,0.13184988839285713,0.12661830357142856,-0.005231584821428571,0.005231584821428571,0.7357129473486977,0.8477357370324391,162,1000099,False,1,192.168.0.10_C001H001S0001000022.png,0.8553322200212923,0.057923081341911764
24,192.168.0.10_C001H001S0001000106.png,0.07784598214285714,0.07889229910714286,0.0010463169642857143,0.0010463169642857143,0.8418032786885246,0.9141076991544281,63,1000106,False,1,192.168.0.10_C001H001S0001000054.png,0.8942746641268937,0.03701602711397059
25,192.168.0.10_C001H001S0001000115.png,0.08080357142857143,0.08062220982142858,-0.00018136160714285715,0.00018136160714285715,0.8570052961001444,0.9229971480425201,42,1000115,False,1,192.168.0.10_C001H001S0001000114.png,0.956592109555258,0.02208228017769608
26,192.168.0.10_C001H001S0001000133.png,0.01201171875,0.017885044642857142,0.005873325892857143,0.005873325892857143,0.4996501049685094,0.6663555762949137,90,1000133,False,3,192.168.0.10_C001H001S0001000091.png,0.9871173734281303,0.011756567861519608
