state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean,thermal_rows,time_start_s,time_end_s,voltage_mean_v,power_mean_w,heat_flux_mean_w_cm2,inlet_subcooling_mean_c,pressure_drop_mean_kpa,htc_mean_w_m2k,quality_x7_mean,ae_hits,ae_hit_rate_hz,ae_abs_energy_rate,ae_amp_mean_db,ae_ch1_hit_rate_hz,ae_ch2_hit_rate_hz,case_label,mass_flow_g_s,subcooling_nominal_c
50,50.0,6,0.3079938616071428,0.0215505236018143,0.75341796875,1013.8333333333334,80,1114.0,1121.9,50.00599255,86.000772175,30.017721527050615,25.222811547718653,1.7200461470224997,7818.678760647689,-0.1381757214983205,13888.0,1757.9746835442836,232085.01728594676,41.04525489631337,979.6202531645456,778.3544303797379,5gs_22C,5.0,22.0
52CHF,52.0,6,0.3479771205357143,0.0198605294863253,0.80517578125,1020.0,108,1189.0,1201.8,51.9890221111111,92.88609470370372,32.42097546377094,24.88517281613204,1.8404099956175928,5712.612683503728,-0.118948447773648,18193.0,1421.328125000005,176802.21053093811,40.466926839993405,844.765625000003,576.562500000002,5gs_22C,5.0,22.0
25V,25.0,6,0.1230724516369047,0.0279479214228775,0.2776692708333333,1022.8333333333334,100,236.0,245.9,24.763830210000005,18.66506932,6.51485840139616,21.77593926026111,0.4246147878960016,3045.778955616947,-0.2708370944133498,70.0,7.0707070707070665,1922.509829090908,40.35428571428572,2.7272727272727257,4.343434343434341,10gs_22C,10.0,22.0
30V,30.0,6,0.0762927827380952,0.021440354997723,0.3030598958333333,1016.1666666666666,71,339.0,766.0,30.013021746478877,29.81789105633802,10.407640857360573,21.878690111554597,0.4073925769732393,4089.1547893231914,-0.2596541376824926,498305.0,1166.9906323185012,132938.69713631616,40.34531361314857,600.7658079625293,566.2248243559719,10gs_22C,10.0,22.0
35V,35.0,6,0.0513997395833333,0.0079643137228956,0.3097330729166667,1020.8333333333334,60,421.0,426.9,34.9375832,42.018409483333336,14.666111512507277,21.97705791308932,0.421079323630001,5112.595244790632,-0.2469457016536685,1833.0,310.6779661016961,7866.219356101725,39.02242225859248,120.00000000000048,190.6779661016957,10gs_22C,10.0,22.0
40V,40.0,6,0.0585588727678571,0.0061323005862287,0.3826497395833333,1020.3333333333334,70,489.0,495.9,39.950063400000005,54.857051314285705,19.147312849663425,22.03363445951952,0.4091563189199994,6042.678967580491,-0.2330569270657026,5999.0,869.4202898550753,23752.27794449283,39.21785297549592,344.4927536231895,524.9275362318858,10gs_22C,10.0,22.0
45V,45.0,6,0.1105910528273809,0.0257905842608218,0.4860026041666667,1016.3333333333334,0,,,,,,,,,,,,,,,,10gs_22C,10.0,22.0
50V,50.0,6,0.2662969680059524,0.0069889234576736,0.6857096354166666,1020.1666666666666,80,630.0,637.9,50.000701625,85.859213475,29.96831185863875,22.238677451274302,0.2785491549825011,7928.714393652376,-0.198189504934686,14337.0,1814.810126582284,138173.12521848144,40.22806723861338,966.5822784810156,848.2278481012683,10gs_22C,10.0,22.0
52.5V,52.5,6,0.301274181547619,0.0177087287507592,0.72021484375,1020.1666666666666,260,711.0,736.9,52.52097852692308,94.7297975346154,33.06450175728286,22.278365496051745,0.2338395844769231,8091.532210977304,-0.1878624005436292,41297.0,1594.478764478766,318599.3392523941,41.53696636559556,939.7297297297306,654.7490347490353,10gs_22C,10.0,22.0
55V,55.0,6,0.1622674851190476,0.022031313723591,0.5706380208333334,1013.5,50,762.0,767.9,55.02930928000001,103.79544948,36.22877817801047,21.99332025071553,0.4520068794199989,6234.724069685684,-0.1754822972285785,7538.0,1277.6271186440729,499702.8330125444,41.71211196603874,740.1694915254266,537.4576271186461,10gs_22C,10.0,22.0
25_ONSET,25.0,8,0.1240705217633928,0.0193945266589093,0.2650146484375,1022.125,110,226.0,236.9,24.94234920000001,21.61905976363636,7.545919638267494,19.71793004933777,1.311181771638182,4035.0051987743386,-0.2468423530815104,8901.0,816.6055045871556,26262.601240642187,39.32633411976182,464.95412844036673,351.65137614678883,15gs_20C,15.0,20.0
30,30.0,8,0.06929931640625,0.0162792871440601,0.2119140625,1009.875,110,295.0,305.9,29.939218518181825,31.07538119090909,10.846555389497064,19.860416702361345,1.2500670254800004,4705.125210929203,-0.2416718224014451,16766.0,1538.1651376146822,85846.93679036714,39.89355242753192,807.7064220183503,730.4587155963318,15gs_20C,15.0,20.0
35,35.0,8,0.0825055803571428,0.0148634607185537,0.306640625,1019.0,110,389.0,399.9,34.94436098181818,42.22977827272728,14.739887704267806,20.01207176731664,1.2636686389236362,5443.298695073092,-0.2353862959093876,18447.0,1692.385321100921,109067.00157972498,40.06534937930287,856.6972477064238,835.6880733944971,15gs_20C,15.0,20.0
40,40.0,8,0.0614048549107142,0.0217150079154308,0.302490234375,1021.75,100,469.0,478.9,39.95515199,55.10354625000001,19.23334947643979,20.16103227530133,1.268899898530001,6335.547068038896,-0.2277175049495572,17153.0,1732.626262626267,256656.9793317177,41.071655104063424,1000.3030303030326,732.323232323234,15gs_20C,15.0,20.0
45,45.0,8,0.1242170061383928,0.0208175523691036,0.4329833984375,1017.5,140,519.0,532.9,44.97516255000001,69.6795851,24.320972111692846,20.210090101193952,1.2044186942157142,7336.859215739229,-0.2169487858996928,21017.0,1512.0143884892111,372880.6928252524,41.90659466146453,916.6906474820158,595.3237410071952,15gs_20C,15.0,20.0
50,50.0,8,0.2100080217633928,0.0094596810389109,0.5826416015625,1019.75,151,571.0,772.8,50.00668925827815,86.00982626490065,30.020881767853645,20.259073497839417,1.0432241808052978,8183.81548003092,-0.2049222114581937,139436.0,690.9613478691775,390609.436504346,43.005811985427,423.0872150644203,267.87413280475727,15gs_20C,15.0,20.0
52.5,52.5,8,0.2377702985491071,0.0167988032137486,0.63330078125,1021.125,150,613.0,627.9,52.52173780666666,94.79655536666664,33.08780292030251,20.24848610355725,0.9293681447613336,8431.854410852995,-0.1980094962131871,16640.0,1116.7785234899343,540285.876440672,43.08442307692308,703.2214765100682,413.5570469798664,15gs_20C,15.0,20.0
