case_label,state_label,image_frames_from_metrics,vapor_area_fraction_n,vapor_area_fraction_mean,vapor_area_fraction_std,vapor_area_fraction_sem,vapor_area_fraction_ci95_half_width,vapor_area_fraction_relative_ci95_half_width,active_length_fraction_n,active_length_fraction_mean,active_length_fraction_std,active_length_fraction_sem,active_length_fraction_ci95_half_width,active_length_fraction_relative_ci95_half_width,state_voltage,heat_flux_mean_w_cm2,multimodal_complete,sampling_warning
15gs_20C,35,8,8,0.08250558035714281,0.014863460718553727,0.005255026932994607,0.012428138696532247,0.15063391643006965,8,0.306640625,0.021503390529611213,0.007602596630995336,0.017980141032303974,0.05863587393974289,35.0,14.739887704267806,True,none
15gs_20C,40,8,8,0.06140485491071423,0.021715007915430865,0.007677414675260359,0.01815708570699075,0.2956946276217422,8,0.302490234375,0.031707681849581414,0.011210358425772313,0.026512497676951522,0.08764744994737161,40.0,19.23334947643979,True,wide_vapor_ci
15gs_20C,45,8,8,0.1242170061383928,0.02081755236910369,0.007360116223949649,0.017406674869640922,0.14013117374804362,8,0.4329833984375,0.024158469565395028,0.008541308826389824,0.020200195374411936,0.04665351015144702,45.0,24.320972111692846,True,none
15gs_20C,50,8,8,0.21000802176339278,0.009459681038910948,0.003344502305237868,0.007909747951887558,0.03766402771413722,8,0.5826416015625,0.016273658214621387,0.005753607039135473,0.013607280647555394,0.023354461149125035,50.0,30.020881767853645,True,none
15gs_20C,52.5,8,8,0.2377702985491071,0.016798803213748683,0.00593927383413003,0.014046382617717523,0.059075429956683585,8,0.63330078125,0.013751363315124561,0.004861841125342249,0.01149825426143442,0.01815607149376846,52.5,33.08780292030251,True,none
15gs_20C,54,8,8,0.2665858677455356,0.02289744565354179,0.008095469546734919,0.019145785478028084,0.0718184562442872,8,0.6778564453125,0.013775491245917022,0.004870371637081924,0.011518428921698751,0.016992431069071882,54.0,35.01185882417103,True,none
15gs_20C,55 CHF,8,8,0.28283691406249994,0.014797300627192434,0.005231635808371861,0.012372818686799451,0.04374541678129527,8,0.6785888671875,0.017766518196651853,0.006281412747463358,0.014855541147750843,0.021891813830252727,55.0,36.30269344624863,True,none
25gs_20C,30_Onset,6,6,0.12085425967261902,0.014888611992962028,0.006078250393506517,0.015627181761705255,0.1293060071199607,6,0.27587890625,0.03779057142751826,0.015427936180936838,0.03966522392118861,0.14377766122229074,30.0,10.838128607012536,True,short_sample
25gs_20C,35,6,6,0.11264880952380951,0.040625106036867774,0.016585130089464432,0.04264036946001306,0.37852481211530753,6,0.2708333333333333,0.07054991024524397,0.02880188024999983,0.07404963412274956,0.2734140336839984,35.0,14.729352912303668,True,short_sample;wide_vapor_ci;wide_active_length_ci
25gs_20C,40,6,6,0.12160528273809523,0.012166495728920515,0.004966951082267692,0.012770031232510236,0.10501214211239011,6,0.2967122395833333,0.014802789222517359,0.0060432133941896084,0.015537101636461484,0.05236420869688391,40.0,19.217801346713205,True,short_sample
