case_label,state_label,state_voltage,thermal_rows,thermal_candidate_rows,thermal_window_blocks,thermal_window_block_index,thermal_window_selection,thermal_window_gap_threshold_s,thermal_window_duration_s,thermal_window_max_internal_gap_s,time_start_s,time_end_s,voltage_mean_v,power_mean_w,power_std_w,heat_flux_mean_w_cm2,heat_flux_std_w_cm2,mass_flow_mean_kg_s,mass_flow_std_kg_s,fluid_velocity_mean_m_s,inlet_subcooling_mean_c,pressure_drop_mean_kpa,inlet_temperature_mean_c,outlet_temperature_mean_c,wall_temperature_mean_c,wall_temperature_std_c,htc_mean_w_m2k,quality_x7_mean,mass_flux_kg_m2_s,mass_flux_std_kg_m2_s,heat_flux_from_power_w_cm2,heat_flux_reconstruction_delta_w_cm2,bulk_temperature_rise_c
5gs_22C,50,50.0,80,80,1,0.0,largest_nonoverlapping_contiguous_block,5.0,7.900000000000091,0.10000000000013642,1114.0,1121.9,50.00599255,86.000772175,0.005005357501301198,30.017721527050618,0.0017470706810822295,0.0049433038,1.813943737030968e-05,0.23539541904761901,25.222811547718653,1.7200461470224997,33.991011199999996,45.0188263,81.83603324285716,0.032895883634606375,7818.678760647689,-0.1381757214983205,395.46430399999997,1.4511549896247744,30.01772152705061,7.105427357601002e-15,11.027815100000005
5gs_22C,52CHF,52.0,108,108,1,0.0,largest_nonoverlapping_contiguous_block,5.0,12.799999999999955,2.2000000000000455,1189.0,1201.8,51.9890221111111,92.88609470370372,0.08028671307855484,32.42097546377094,0.028023285542252776,0.004976039231481481,3.0118105759094572e-05,0.23695424911816576,24.885172816132037,1.8404099956175928,34.227424981481484,42.19908732407408,103.46297006481481,5.201804975561805,5712.612683503728,-0.11894844777364809,398.08313851851847,2.4094484607275657,32.42097546377094,0.0,7.9716623425925945
10gs_22C,25V,25.0,100,100,1,0.0,largest_contiguous_block,5.0,9.900000000000006,0.10000000000002274,236.0,245.9,24.763830210000005,18.66506932,0.03184955944128029,6.51485840139616,0.011116774674094257,0.010296560619999997,4.771649168773265e-05,0.4903124104761904,21.77593926026111,0.42461478789600166,37.2545584,38.25629724,59.63690995428571,0.030981187647183977,3045.778955616947,-0.2708370944133498,823.7248495999997,3.817319335018612,6.514858401396161,-8.881784197001252e-16,1.0017388400000016
10gs_22C,30V,30.0,70,71,2,0.0,largest_nonoverlapping_contiguous_block,5.0,6.899999999999977,0.10000000000002274,339.0,345.9,30.01893407142857,29.812960185714278,0.022138209451503445,10.405919785589633,0.007727123717802334,0.010204793914285717,5.4845561937092555e-05,0.48594256734693875,21.874446044049318,0.4053514294771426,37.28507114285713,39.49287722857142,64.10956673469389,0.015514345326371538,4125.293989515338,-0.2596073313630883,816.3835131428573,4.387644954967405,10.405919785589628,5.329070518200751e-15,2.207806085714296
10gs_22C,35V,35.0,60,60,1,0.0,largest_nonoverlapping_contiguous_block,5.0,5.899999999999977,0.10000000000002274,421.0,426.9,34.9375832,42.018409483333336,0.0036980379703601992,14.666111512507275,0.0012907636894801712,0.0101006348,2.383095065907475e-05,0.4809826095238095,21.97705791308932,0.42107932363000106,37.3212622,40.68268763333334,68.24509722857142,0.004056138887580955,5112.595244790632,-0.24694570165366855,808.0507839999999,1.9064760527259799,14.666111512507275,0.0,3.3614254333333378
10gs_22C,40V,40.0,70,70,1,0.0,largest_nonoverlapping_contiguous_block,5.0,6.899999999999977,0.10000000000002274,489.0,495.9,39.950063400000005,54.857051314285705,0.013283903909927576,19.147312849663425,0.004636615675367947,0.010071190257142858,4.373736306130144e-05,0.47958048843537404,22.03363445951952,0.40915631891999943,37.3750294,42.37985242857143,71.95966595102041,0.017560460886994485,6042.678967580491,-0.23305692706570263,805.6952205714286,3.498989044904115,19.147312849663425,0.0,5.00482302857143
10gs_22C,45V,45.0,0,0,0,,no_voltage_matched_rows,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
10gs_22C,50V,50.0,80,80,1,0.0,largest_nonoverlapping_contiguous_block,5.0,7.899999999999977,0.10000000000002274,630.0,637.9,50.000701625,85.859213475,0.006150666819822397,29.96831185863875,0.0021468296055223435,0.009811618999999999,9.076685926125166e-05,0.4672199523809524,22.238677451274302,0.2785491549825011,37.4812643,43.4798373,80.09582115714286,0.06865597032690002,7928.714393652376,-0.19818950493468607,784.9295199999999,7.261348740900132,29.96831185863875,0.0,5.998573
10gs_22C,52.5V,52.5,260,260,1,0.0,largest_nonoverlapping_contiguous_block,5.0,25.899999999999977,0.10000000000002274,711.0,736.9,52.52097852692308,94.72979753461539,0.006285725084091298,33.06450175728286,0.0021939703609398305,0.009759317969230769,0.00017040517664137041,0.4647294271062271,22.278365496051745,0.23383958447692313,37.58118976153846,44.11220606153846,83.90554539450548,0.10198044680371575,8091.532210977304,-0.18786240054362924,780.7454375384615,13.632414131309632,33.06450175728286,0.0,6.531016299999997
10gs_22C,55V,55.0,50,50,1,0.0,largest_nonoverlapping_contiguous_block,5.0,5.899999999999977,1.1000000000000227,762.0,767.9,55.02930928000001,103.79544947999999,0.2649042500742434,36.22877817801047,0.09246221643080049,0.00995155292,0.0001342816235829575,0.47388347238095235,21.993320250715534,0.4520068794199989,37.67830008,42.569453919999994,105.44407985714287,2.9774707872385036,6234.724069685684,-0.1754822972285785,796.1242336,10.7425298866366,36.22877817801047,0.0,4.891153839999994
15gs_20C,25_ONSET,25.0,110,110,1,0.0,largest_contiguous_block,5.0,10.900000000000006,0.10000000000002274,226.0,236.9,24.942349200000006,21.619059763636358,0.004748152965714266,7.545919638267494,0.0016572959740712876,0.015111402472727272,2.722242829083596e-05,0.7195905939393938,19.71793004933777,1.311181771638182,38.707204418181824,39.59014683636364,58.22867236363636,0.009295536438474616,4035.0051987743386,-0.24684235308151042,1208.9121978181818,2.1777942632668768,7.54591963826749,3.552713678800501e-15,0.8829424181818126
15gs_20C,30,30.0,110,110,1,0.0,largest_nonoverlapping_contiguous_block,5.0,10.899999999999977,0.10000000000002274,295.0,305.9,29.939218518181825,31.07538119090909,0.00470423461293071,10.846555389497064,0.0016419667060844454,0.015067634181818184,3.3456514552251054e-05,0.7175063896103893,19.860416702361345,1.2500670254800004,38.69132258181818,40.447667599999996,62.95549296883119,0.014874230824163977,4705.125210929203,-0.2416718224014451,1205.4107345454547,2.6765211641800843,10.846555389497066,-1.7763568394002505e-15,1.7563450181818183
15gs_20C,35,35.0,110,110,1,0.0,largest_nonoverlapping_contiguous_block,5.0,10.899999999999977,0.10000000000002274,389.0,399.9,34.94436098181818,42.22977827272728,0.00475521210499283,14.739887704267806,0.001659759897030693,0.015041114545454546,2.0795212864625063e-05,0.7162435497835496,20.01207176731664,1.2636686389236362,38.717746454545455,41.700095636363635,67.39643904675327,0.009929319133165679,5443.298695073092,-0.23538629590938767,1203.2891636363636,1.663617029170005,14.739887704267813,-7.105427357601002e-15,2.9823491818181793
15gs_20C,40,40.0,100,100,1,0.0,largest_nonoverlapping_contiguous_block,5.0,9.899999999999977,0.10000000000002274,469.0,478.9,39.95515199,55.10354625000001,0.0075191675935906595,19.23334947643979,0.0026244913066634265,0.015036623399999999,3.135916945792583e-05,0.7160296857142859,20.16103227530133,1.268899898530001,38.702762119999996,43.05063587999999,71.11178226285713,0.007699304089720735,6335.547068038896,-0.22771750494955725,1202.929872,2.5087335566340663,19.233349476439795,-3.552713678800501e-15,4.347873759999992
15gs_20C,45,45.0,140,140,1,0.0,largest_nonoverlapping_contiguous_block,5.0,13.899999999999977,0.10000000000002274,519.0,532.9,44.97516255000001,69.6795851,0.00740014656601907,24.320972111692846,0.0025829481905824485,0.01492577807142857,2.7824850227225385e-05,0.7107513367346939,20.210090101193952,1.2044186942157142,38.7321916,43.848443828571426,74.50534579591837,0.02136733118941231,7336.859215739229,-0.21694878589969285,1194.0622457142856,2.2259880181780307,24.320972111692846,0.0,5.116252228571426
15gs_20C,50,50.0,150,151,2,0.0,largest_nonoverlapping_contiguous_block,5.0,14.899999999999977,0.10000000000002274,571.0,585.9,50.00454145333334,86.00287917333333,0.007361768357691622,30.018456954043057,0.002569552655390009,0.01486883888,3.408963299396689e-05,0.7080399466666667,20.26108033617177,1.043542446245333,38.79016278666666,44.01411876000001,78.70009007238095,0.040062895467128413,8203.89720418516,-0.20495178895575117,1189.5071103999999,2.727170639517351,30.01845695404305,7.105427357601002e-15,5.2239559733333465
15gs_20C,52.5,52.5,150,150,1,0.0,largest_nonoverlapping_contiguous_block,5.0,14.899999999999977,0.10000000000002274,613.0,627.9,52.521737806666664,94.79655536666665,0.01023596099062364,33.08780292030251,0.0035727612532714705,0.014867046586666668,0.00010218679830638528,0.7079545993650794,20.248486103557255,0.9293681447613337,38.82877422666667,44.21251969333333,81.8018316152381,0.08412442686928032,8431.854410852995,-0.19800949621318711,1189.3637269333335,8.174943864510823,33.0878029203025,7.105427357601002e-15,5.38374546666666
15gs_20C,54,54.0,160,160,1,0.0,largest_nonoverlapping_contiguous_block,5.0,15.899999999999977,0.10000000000002274,677.0,692.9,54.033238393750004,100.30897553125,0.009918678980388158,35.01185882417103,0.0034620170961216163,0.0148785001875,0.00011038250494104105,0.7085000089285713,20.25455152521591,0.8733888803800005,38.835510025,44.3789398,84.79433109285715,0.07683513112596002,8354.734551809783,-0.19390428361484582,1190.2800149999998,8.830600395283284,35.011858824171036,-7.105427357601002e-15,5.543429775
15gs_20C,55 CHF,55.0,120,217,2,0.0,largest_nonoverlapping_contiguous_block,5.0,11.899999999999977,0.10000000000002274,734.0,745.9,55.03842891666667,104.04610681666666,0.010986357772663094,36.3162676497964,0.003834679850842871,0.01490337255,8.688996442897233e-05,0.7096844071428571,20.197897585280145,0.7567698561699996,38.86303648333333,44.49513794999999,87.94120020238094,0.18727653772736236,8128.46293410762,-0.19036039416593692,1192.269804,6.951197154317786,36.316267649796394,7.105427357601002e-15,5.632101466666661
25gs_20C,30_Onset,30.0,220,220,1,0.0,largest_contiguous_block,5.0,23.900000000000006,2.0999999999999943,79.0,102.9,29.933293163636367,31.051238459090904,0.005339274209151581,10.838128607012536,0.0018636210154108629,0.025099491681818176,4.535564165679078e-05,1.1952138896103892,18.9923808574599,0.8205515349672725,40.60681068181818,42.16492730909091,62.06199373896105,0.02602072611874793,5250.547368593924,-0.24091762185801888,2007.959334545454,3.6284513325432624,10.838128607012532,3.552713678800501e-15,1.5581166272727316
25gs_20C,35,35.0,160,160,1,0.0,largest_nonoverlapping_contiguous_block,5.0,15.900000000000006,0.10000000000002274,211.0,226.9,34.938105612499996,42.199596093749996,0.004230703835160496,14.729352912303668,0.0014766854572987797,0.025119704050000004,3.157603948458512e-05,1.1961763833333332,19.118927468065458,0.6254153067525008,40.5835633,43.2162374375,67.05325767500001,0.012014890338417406,5806.746853591736,-0.23765659564109054,2009.576324,2.5260831587668093,14.729352912303666,1.7763568394002505e-15,2.632674137499997
25gs_20C,40,40.0,120,120,1,0.0,largest_nonoverlapping_contiguous_block,5.0,11.899999999999977,0.10000000000002274,255.0,266.9,39.946604216666664,55.059000858333334,0.003811640843644444,19.217801346713205,0.001330415652231325,0.025090589516666668,3.1152462507028786e-05,1.194789976984127,19.181010305886524,0.4726837399850005,40.598507783333325,44.4229313,71.10131447380951,0.010716470994385234,6599.289953962284,-0.2326672811425867,2007.2471613333332,2.4921970005623026,19.21780134671321,-3.552713678800501e-15,3.824423516666677
25gs_20C,45,45.0,120,120,1,0.0,largest_nonoverlapping_contiguous_block,5.0,11.899999999999977,0.10000000000002274,306.0,317.9,44.969047266666664,69.64265824166665,0.004959894445196954,24.3080831559046,0.0017312022496325764,0.0250494934,2.4952014782125103e-05,1.1928330190476188,19.235518692087854,0.27714556642999805,40.66293399999999,45.94147213333334,74.67317667619048,0.016008200511286298,7522.683623908856,-0.22680566318563253,2003.959472,1.996161182570008,24.308083155904594,7.105427357601002e-15,5.278538133333349
25gs_20C,50,50.0,150,150,1,0.0,largest_nonoverlapping_contiguous_block,5.0,14.899999999999977,0.10000000000002274,386.0,400.9,49.99969821333333,85.9881808,0.00522205952839646,30.01332663176266,0.0018227083868743964,0.02504042486666666,2.482926053186618e-05,1.192401184126984,19.27711632733724,0.1462302438759993,40.73877364,46.13922572,78.44621675428573,0.020365175548288365,8440.64776893957,-0.21998007022737626,2003.2339893333328,1.9863408425492943,30.013326631762652,7.105427357601002e-15,5.400452080000001
25gs_20C,55,55.0,120,120,1,0.0,largest_nonoverlapping_contiguous_block,5.0,11.899999999999977,0.10000000000002274,451.0,462.9,55.033587649999994,104.04684952499998,0.006706935851816571,36.31652688481677,0.002340989826114125,0.024972812100000005,3.432024050605251e-05,1.1891815285714284,19.358425814828898,0.4091486198383322,40.77456433333334,46.145624183333325,83.88218983333333,0.029253344263916344,8997.118171560436,-0.21277677020219984,1997.8249680000004,2.7456192404842006,36.31652688481675,1.4210854715202004e-14,5.3710598499999875
25gs_20C,57.5,57.5,100,200,2,0.0,largest_nonoverlapping_contiguous_block,5.0,9.899999999999977,0.10000000000002274,512.0,521.9,57.55861605,113.70685367999998,0.007785819361434536,39.68825608376964,0.0027175634769414634,0.02492433234,2.7178226868981202e-05,1.1868729685714285,19.341403006985,0.578553995842,40.841931960000004,46.21168791999999,89.00666808571427,0.06964756092564338,8839.51288458964,-0.20804591707992848,1993.9465872,2.174258149518496,39.68825608376963,7.105427357601002e-15,5.369755959999985
25gs_20C,59CHF,59.0,98,98,1,0.0,largest_nonoverlapping_contiguous_block,5.0,9.700000000000045,0.10000000000002274,593.0,602.7,59.07083399999999,119.63742394897962,0.06535314426598748,41.758263158457105,0.022810870598949498,0.025010900979591834,4.677798835847456e-05,1.1909952847424683,19.13045530846321,0.33977574078571454,40.936714428571435,46.049786714285716,97.66526346938777,5.601957438619672,8125.415930198715,-0.20251210254843868,2000.8720783673466,3.7422390686779647,41.75826315845711,-7.105427357601002e-15,5.113072285714281
